,rank,name,birth,team,year,gp,cg,sho,gs,win,loss,save,hold,inning,runs,earned_run,batter_faced,hits,base2,base3,home_run,walk,intentional_walk,hb,so,balk,wild,ERA,FIP,WHIP,ERAplus,FIPplus,WAR,WPA,salary
37,38.0,박세웅,1995-11-30,Lotte Giants,2017,28.0,0.0,0.0,28.0,12.0,6.0,0.0,0.0,171.1,74.0,70.0,725.0,170.0,25.0,1.0,21.0,56.0,2.0,9.0,117.0,0.0,7.0,3.68,5.07,1.32,137.0,99.3,4.63,1.23,18000
38,39.0,구창모,1997-02-17,NC Dinos,2020,15.0,0.0,0.0,14.0,9.0,0.0,0.0,1.0,93.1,20.0,18.0,348.0,58.0,12.0,0.0,7.0,18.0,0.0,0.0,102.0,0.0,2.0,1.74,2.92,0.81,281.5,165.6,4.62,2.8,12500
38,39.0,구창모,1997-02-17,NC Dinos,2020,15.0,0.0,0.0,14.0,9.0,0.0,0.0,1.0,93.1,20.0,18.0,348.0,58.0,12.0,0.0,7.0,18.0,0.0,0.0,102.0,0.0,2.0,1.74,2.92,0.81,281.5,165.6,4.62,2.8,22000
39,40.0,양현종,1988-03-01,Kia Tigers,2017,31.0,1.0,0.0,31.0,20.0,6.0,0.0,0.0,193.1,88.0,74.0,808.0,209.0,32.0,2.0,17.0,45.0,0.0,0.0,158.0,0.0,14.0,3.44,3.94,1.31,144.2,126.8,4.56,1.31,2700
39,40.0,양현종,1988-03-01,Kia Tigers,2017,31.0,1.0,0.0,31.0,20.0,6.0,0.0,0.0,193.1,88.0,74.0,808.0,209.0,32.0,2.0,17.0,45.0,0.0,0.0,158.0,0.0,14.0,3.44,3.94,1.31,144.2,126.8,4.56,1.31,150000
39,40.0,양현종,1988-03-01,Kia Tigers,2017,31.0,1.0,0.0,31.0,20.0,6.0,0.0,0.0,193.1,88.0,74.0,808.0,209.0,32.0,2.0,17.0,45.0,0.0,0.0,158.0,0.0,14.0,3.44,3.94,1.31,144.2,126.8,4.56,1.31,35000
40,41.0,해커,1983-03-26,NC Dinos,2017,26.0,1.0,0.0,26.0,12.0,7.0,0.0,0.0,160.1,64.0,61.0,672.0,159.0,19.0,2.0,14.0,29.0,1.0,14.0,97.0,2.0,6.0,3.42,4.45,1.17,144.8,112.4,4.5,1.4,11000
40,41.0,해커,1983-03-26,NC Dinos,2017,26.0,1.0,0.0,26.0,12.0,7.0,0.0,0.0,160.1,64.0,61.0,672.0,159.0,19.0,2.0,14.0,29.0,1.0,14.0,97.0,2.0,6.0,3.42,4.45,1.17,144.8,112.4,4.5,1.4,100000
40,41.0,해커,1983-03-26,NC Dinos,2017,26.0,1.0,0.0,26.0,12.0,7.0,0.0,0.0,160.1,64.0,61.0,672.0,159.0,19.0,2.0,14.0,29.0,1.0,14.0,97.0,2.0,6.0,3.42,4.45,1.17,144.8,112.4,4.5,1.4,4400
41,42.0,채드벨,1989-02-28,Hanwha Eagles,2019,29.0,0.0,0.0,29.0,11.0,10.0,0.0,0.0,177.1,73.0,69.0,749.0,169.0,33.0,2.0,14.0,63.0,0.0,10.0,134.0,1.0,8.0,3.5,4.15,1.31,118.3,100.2,4.49,1.53,120000
